BusStopCode,Latitude,Longitude,Attraction
11101,1.31614971080385,103.805960121892,
11109,1.31552472199926,103.805743056028,
11111,1.31780157259006,103.807718669525,
11119,1.31747833490912,103.807856067286,Farrer Road MRT Station
11131,1.2928849988829,103.807066944173,
11139,1.2931986108138,103.807446948413,
11141,1.29463705145492,103.805825106684,
11149,1.29506407111991,103.805962800948,Queenstown MRT Station
11151,1.29863585845076,103.802475929256,
11159,1.29800440816386,103.803626568556,
11161,1.30213305598263,103.798390833021,
11169,1.30270500001823,103.798381666973,Commonwealth MRT Station
11171,1.30535666699303,103.794797221969,
11179,1.30627521395682,103.794279401175,
11181,1.30722333300814,103.792276388969,
11189,1.30740138898924,103.792542222024,
11191,1.30801640815091,103.788373154627,
11199,1.30837970735444,103.788431453032,
11201,1.30692642897557,103.811864535774,
11209,1.30817280849852,103.810383498176,
11211,1.30838779885113,103.80939522851,
11219,1.30988506093033,103.807164078301,
11221,1.31002225322358,103.80544413357,
11229,1.31060065879064,103.805225422272,
11231,1.31115316310297,103.80119919778,
11239,1.31152857401616,103.801655173303,
11259,1.31119887945564,103.792740022134,
11261,1.31223168432152,103.794446218385,
11269,1.31256112590195,103.794537966974,
11271,1.31473444398294,103.790084166998,
11279,1.31466878886978,103.790692597681,
11281,1.31622694399746,103.788521943991,
11289,1.31618891387774,103.789043425179,
11291,1.31792777802094,103.785923333009,
11299,1.31826975603165,103.785588436802,
11301,1.31803972093441,103.787900677163,
11309,1.31862443850443,103.788429935262,
11311,1.31989638898836,103.789186944023,
11319,1.3203063798654,103.789599706248,
11321,1.32123138902898,103.790103610985,
11329,1.32236139685053,103.790980940084,
11331,1.32320918827361,103.791446685756,
11339,1.32398638897489,103.792047221989,
11341,1.32551506183496,103.792827908943,
11349,1.32566611098306,103.793073889033,
11351,1.30934571218561,103.789451127752,
11359,1.30931022636473,103.789686083471,
11361,1.30649698638726,103.790581235424,Buona Vista MRT Station
11369,1.3063259638605,103.790848277415,
11379,1.30917002463976,103.792363231286,
11381,1.30841137865065,103.793282941023,
11389,1.30906501014268,103.792932168781,
11401,1.30906722197973,103.795074444021,
11409,1.3076441670056,103.79432583302,
11419,1.31102981378085,103.796043992027,Holland Village MRT Station
11429,1.30454000002017,103.798363332998,
11439,1.30606472198412,103.800297778015,
11441,1.29780416697573,103.797540556032,
11449,1.29840527801842,103.797603333023,
11451,1.30034972200468,103.797072778015,
11459,1.30097055597804,103.796851943996,
11469,1.30113503392421,103.801885843269,
11471,1.29951892595663,103.803151566066,
11479,1.29938075130292,103.803719858379,
11481,1.29811518922625,103.806005403545,
11489,1.29845351507922,103.804997205712,
11491,1.29710202847016,103.8076364994,
11499,1.29685053610951,103.807886633345,
11511,1.2859468736223,103.802518844624,
11519,1.28665742231261,103.803341294253,Queensway Shopping Centre
11521,1.2885710102662,103.805430030472,IKEA Alexandra
11529,1.28903120647732,103.806090930528,
11531,1.29108833302538,103.807530833028,
11539,1.29117049549107,103.807861804987,
11541,1.29235984013148,103.805785001398,
11551,1.29126703051517,103.804095983525,
11561,1.29107396045212,103.802475929243,
11579,1.29256489056942,103.803033212522,
11589,1.292991881006,103.804005249958,
11599,1.29420805600708,103.803148889006,
11609,1.29188972202709,103.802121944018,
12021,1.31907638897016,103.782430556015,
12029,1.31958369390988,103.782439210915,
12031,1.3208008510991,103.779628555217,
12039,1.32104526183447,103.780189983868,
12041,1.32049172685895,103.776534421205,
12049,1.32091131971837,103.776558889914,
12051,1.3204289505949,103.775061310541,
12059,1.32072731097778,103.775158978338,
12061,1.32178500189496,103.770873398591,
12069,1.321433056,103.7710419,
12071,1.32402249998323,103.772193888966,
12079,1.32383187575187,103.772630943757,
12081,1.326468056,103.77543,
12089,1.326261111,103.7757089,
12091,1.32918315486756,103.777147116685,
12099,1.327838056,103.7767036,
12101,1.33243896358504,103.777685063167,
12109,1.330819444,103.7780086,
12111,1.3191179107649,103.772229807867,
12119,1.31964598192789,103.772792662814,
12121,1.31164833301814,103.787151667032,
12129,1.31182111096862,103.787326110992,
12131,1.3141594439742,103.785061666981,
12139,1.31453185933289,103.785041570686,
12141,1.31574389841394,103.782391548191,
12149,1.31576900455367,103.782660991585,
12151,1.31865064467378,103.781275749197,
12169,1.31916549240365,103.777241706879,
12179,1.31679504687757,103.776994943613,
12189,1.31642693680141,103.780224022431,
12199,1.31547998901343,103.778206224983,
12201,1.32670826856501,103.763995095855,
12209,1.32653202760922,103.764299682206,
12211,1.31721336095462,103.780707120886,
13011,1.306344,103.819831,
13019,1.3067380217198,103.820130798949,
13021,1.30633972996805,103.814306708163,
13029,1.30671783282361,103.814518588021,
13031,1.29912972200223,103.817073889012,
13039,1.29981572699945,103.81744265558,
13041,1.30242834318416,103.819676347233,
13049,1.30261671321463,103.820450696245,
13051,1.29334305906356,103.826365620906,
13059,1.29328273601932,103.826634926768,
13062,1.29476674399435,103.828532681613,
13063,1.29534692836828,103.829643091107,
13069,1.29488000002792,103.828808056026,
13071,1.29636199316259,103.832251294437,
13079,1.29612213279141,103.832292111341,
13081,1.2959113890106,103.836242777988,
13089,1.29575111096804,103.836041111034,
13091,1.29593138900491,103.839378056019,
13099,1.29578024244395,103.839612720812,
13101,1.29414162678811,103.842312097577,
13109,1.29350944398488,103.842724167027,
13119,1.29362677394379,103.832838535309,Great World City
13121,1.29409221679274,103.83083776408,
13139,1.2950426189642,103.832055330288,
13141,1.29763682834545,103.829979863479,
13159,1.29796011528522,103.830531835552,
13169,1.29910305180416,103.828392891585,
13171,1.29906809120339,103.826507034851,
13179,1.29925749997453,103.826652500001,
13181,1.30023223661153,103.824034730056,
13189,1.30038166697497,103.824147499974,
13191,1.302461,103.8297819,
13199,1.302127,103.829875,
13201,1.30453622259471,103.822095598951,
13209,1.3040310710651,103.822056055052,
13211,1.29241699362559,103.841095990069,
14009,1.26703502614245,103.819014699074,
14011,1.26795444401606,103.82552611098,
14019,1.2684889249437,103.825717174465,
14021,1.27132972198996,103.824783611017,
14029,1.27247333301883,103.82418777803,
14031,1.27624277802151,103.823060278009,
14039,1.27663637861466,103.823458267688,
14041,1.2732727805917,103.812470793017,
14049,1.27324166755337,103.813042319997,
14051,1.27581500000367,103.815075555992,
14059,1.27537485139506,103.815143654923,
14061,1.27231269789239,103.838620357349,
14069,1.272538056,103.8364069,
14071,1.27220342411953,103.833902586259,
14081,1.270896111,103.8308919,
14089,1.27046005041763,103.829792773326,
14101,1.26837500002503,103.82825805601,
14109,1.26804601553507,103.827224905056,
14119,1.26592360897281,103.822282780366,
14121,1.26591350024271,103.819256606218,
14129,1.26607869101924,103.819778773911,
14131,1.26740130257465,103.816754411503,
14139,1.2686352773503,103.815469523808,
14141,1.26552421466644,103.822113268462,Harbourfront MRT Station
14151,1.26964765905364,103.812935941234,
14159,1.26994046445496,103.813154190818,
14161,1.27075866533548,103.810099130053,Telok Blangah MRT Station
14169,1.27118550385957,103.809418104345,
14171,1.27145959833005,103.806548570594,
14179,1.27188454577735,103.806300005338,
14189,1.27269303340787,103.803983632146,Labrador Park MRT Station
14191,1.28121833300943,103.812114444007,
14199,1.28131676735406,103.812750563708,
14201,1.28167307267242,103.809146838923,
14209,1.28176397706369,103.809588697121,
14211,1.28161168409316,103.805218774698,
14219,1.28218647936578,103.806849612528,
14221,1.27359332247784,103.828933717284,
14229,1.27370670186653,103.828578889152,
14231,1.27100999999332,103.826672222025,
14239,1.27178138152481,103.827142393632,
14241,1.27914353103301,103.816872508754,
14249,1.27947405747082,103.81732991211,
14259,1.27784501068205,103.81865821941,
14269,1.27758480623244,103.819994511212,
14271,1.27568194286532,103.819148540489,
14279,1.27591552267791,103.819208926028,
14281,1.27699671573899,103.818043774906,
14291,1.27468440821038,103.821326494221,
14299,1.27488820445716,103.821271329439,
14309,1.27128899958763,103.823025938972,
14319,1.27340685178245,103.820718321424,
14329,1.27434961469084,103.809453660741,
14331,1.27694611110347,103.811068055548,
14339,1.276660654539,103.811245047858,
14341,1.2759338888633,103.813473888873,
14349,1.27579029839825,103.813398136715,
14351,1.27275000000424,103.81036111111,
14359,1.27289055599998,103.810350277971,
14369,1.28153635758335,103.803659271552,
14379,1.27243833303297,103.823793611025,
14381,1.27413014152159,103.825542905472,
14389,1.27428160509375,103.825008951935,
14391,1.27790999999895,103.808586111101,
14399,1.27763662023223,103.808585529392,
14471,1.28201169102423,103.806649787713,
14489,1.2721852066614,103.821701085496,
14491,1.27278805556375,103.80794888889,
14499,1.27291305557456,103.807821111125,
14501,1.27687216148362,103.806480818486,
14509,1.275651111,103.8068061,
14519,1.25352193438281,103.825703221274,
14521,1.256432,103.820911,
14529,1.253226,103.821217,
14539,1.251427,103.818545,
15041,1.274632,103.801892,
15049,1.274590541032,103.80216344739,
15051,1.276978,103.8023815,
15059,1.27686194443878,103.802701111131,
15071,1.28142472197061,103.787014166971,
15079,1.28077893732919,103.786827782213,
15091,1.28290732015735,103.787811053816,
15099,1.28305620100972,103.787893493728,
15101,1.28617611097876,103.785620833,
15109,1.28591970870508,103.785810660828,
15111,1.28676277798099,103.784841667011,
15119,1.28703802671813,103.785011117877,
15121,1.2889414210404,103.783730442779,
15129,1.28916467783169,103.784018707291,
15131,1.29254343742409,103.784489035617,
15139,1.29241000003008,103.784584999983,
15141,1.27275860463579,103.800959478238,
15149,1.27341871854745,103.800555467586,
15151,1.27389192906939,103.798222089824,
15159,1.27426303773784,103.798393504076,
15161,1.27443806198132,103.796660559405,
15169,1.27481499269165,103.796739942902,
15181,1.29108496444522,103.78541356072,
15189,1.29079779477822,103.785502557593,
15191,1.27581227029734,103.79263571258,Pasir Panjang MRT Station
15199,1.27604240853686,103.793183996398,
15201,1.27680819120105,103.789708614372,
15209,1.27706561928684,103.7902343273,
15211,1.27792442096507,103.786428085922,
15219,1.27818114088895,103.787010312069,
15221,1.27949923466491,103.785489554016,
15229,1.27937638961898,103.78572727156,
16009,1.29425341056334,103.769883231977,
16011,1.28277766355314,103.781869304134,Haw Par Villa MRT Station
16019,1.28278078585184,103.782176148582,
16021,1.28625793147796,103.779810276938,
16029,1.28608472200879,103.780221389029,
16031,1.28800629048399,103.778464794136,
16039,1.28799020188116,103.7787202926,
16041,1.2893086506189,103.776600951433,
16049,1.28910696351866,103.777389520473,
16051,1.29014861601908,103.774260366152,
16059,1.28967266173408,103.775941361395,
16061,1.29046257201356,103.77356171611,
16069,1.290648611,103.7736967,
16071,1.29129940835907,103.77117221156,
16079,1.29138264862382,103.771298361842,
16081,1.29195777797363,103.768661389003,
16089,1.29201138346787,103.769084207161,
16091,1.299275,103.779369,
16099,1.30061249997689,103.778151388867,
16101,1.28923831874246,103.779692392797,
16109,1.28911169277414,103.779508432575,
16111,1.28700981956328,103.782831115818,
16119,1.28697650703193,103.78260551222,
16121,1.28651130049582,103.78345136825,
16131,1.29487639088562,103.769352010105,
16139,1.29537944399618,103.769748611004,
16141,1.29786833526113,103.769595236506,
16149,1.29781833402646,103.769940270031,
16151,1.30076138899694,103.769935556024,
16159,1.30060333385651,103.770170326798,
16161,1.30107500001488,103.773694166985,
16169,1.30098333297992,103.772704167017,
16171,1.29890150201437,103.774382313195,
16179,1.29898164227099,103.774177327253,
16181,1.29656572408064,103.772542476642,
16189,1.29736100001827,103.772847999977,
16191,1.29614307417349,103.770370214182,
16199,1.29639303583424,103.770729178875,
16201,1.28130063164133,103.784107588342,
16209,1.28159092769912,103.784006502448,
16211,1.27941861098854,103.783575832991,
16219,1.28015833301245,103.783623611008,
16221,1.28297585453544,103.781184248686,
16229,1.2830090731877,103.781599593776,
16231,1.28635947284714,103.778529331683,
16239,1.28643527800393,103.778934443972,
16241,1.28910305603308,103.773526110968,
16249,1.28928277099215,103.77400682989,
16891,1.30982186660782,103.768161398293,
16991,1.30777929773028,103.769885824231,
17009,1.31491572870629,103.764122254385,The Clementi Mall
17011,1.29386900823232,103.766881872538,
17019,1.2937974792702,103.767051769953,
17021,1.29673702633957,103.766912017946,
17029,1.29694570097768,103.767102953315,
